Time,PlayerX,PlayerY,HazardX,HazardY,GameState
2025-01-31 12:41:39.177,0,0,0,0.4499999,3
2025-01-31 12:41:39.178,0,0,0,0.4499999,1
2025-01-31 12:41:39.183,0,0,0,0.4499999,3
2025-01-31 12:41:39.185,0,0,0,0.4499999,1
2025-01-31 12:41:39.190,0,0,0,0.4499999,3
2025-01-31 12:41:39.191,0,0,0,0.4499999,1
2025-01-31 12:41:39.198,0,0,0,0.4499999,0
2025-01-31 12:41:39.201,0,0,0,0.4499999,3
2025-01-31 12:41:39.202,0,0,0,0.4499999,1
2025-01-31 12:41:39.207,0,0,0,0.8499999,3
2025-01-31 12:41:39.208,0,0,0,0.8499999,1
2025-01-31 12:41:39.214,0,0,0,0.8499999,3
2025-01-31 12:41:39.214,0,0,0,0.8499999,1
2025-01-31 12:41:39.220,0,0,0,0.8499999,3
2025-01-31 12:41:39.221,0,0,0,0.8499999,1
2025-01-31 12:41:39.230,0,0,0,0.8499999,3
2025-01-31 12:41:39.231,0,0,0,0.8499999,1
2025-01-31 12:41:39.237,0,0,0,0.8499999,0
2025-01-31 12:41:39.240,0,0,0,0.8499999,3
2025-01-31 12:41:39.240,0,0,0,0.8499999,1
2025-01-31 12:41:39.247,0,0,0,1.25,3
2025-01-31 12:41:39.248,0,0,0,1.25,1
2025-01-31 12:41:39.255,0,0,0,1.25,3
2025-01-31 12:41:39.256,0,0,0,1.25,1
2025-01-31 12:41:39.264,0,0,0,1.25,3
2025-01-31 12:41:39.264,0,0,0,1.25,1
2025-01-31 12:41:39.277,0,0,0,1.25,0
2025-01-31 12:41:39.280,0,0,0,1.25,3
2025-01-31 12:41:39.281,0,0,0,1.25,1
2025-01-31 12:41:39.286,0,0,0,1.65,3
2025-01-31 12:41:39.287,0,0,0,1.65,1
2025-01-31 12:41:39.293,0,0,0,1.65,3
2025-01-31 12:41:39.295,0,0,0,1.65,1
2025-01-31 12:41:39.302,0,0,0,1.65,3
2025-01-31 12:41:39.303,0,0,0,1.65,1
2025-01-31 12:41:39.311,0,0,0,1.65,3
2025-01-31 12:41:39.312,0,0,0,1.65,1
2025-01-31 12:41:39.319,0,0,0,1.65,0
2025-01-31 12:41:39.320,0,0,0,1.65,3
2025-01-31 12:41:39.322,0,0,0,1.65,1
2025-01-31 12:41:39.327,0,0,0,2.05,3
2025-01-31 12:41:39.328,0,0,0,2.05,1
2025-01-31 12:41:39.335,0,0,0,2.05,3
2025-01-31 12:41:39.337,0,0,0,2.05,1
2025-01-31 12:41:39.344,0,0,0,2.05,3
2025-01-31 12:41:39.346,0,0,0,2.05,1
2025-01-31 12:41:39.353,0,0,0,2.05,3
2025-01-31 12:41:39.354,0,0,0,2.05,1
2025-01-31 12:41:39.360,0,0,0,2.05,0
2025-01-31 12:41:39.361,0,0,0,2.05,3
2025-01-31 12:41:39.362,0,0,0,2.05,1
2025-01-31 12:41:39.368,0,0,0,2.45,3
2025-01-31 12:41:39.369,0,0,0,2.45,1
2025-01-31 12:41:39.374,0,0,0,2.45,3
2025-01-31 12:41:39.375,0,0,0,2.45,1
2025-01-31 12:41:39.382,0,0,0,2.45,3
2025-01-31 12:41:39.383,0,0,0,2.45,1
2025-01-31 12:41:39.390,0,0,0,2.45,3
2025-01-31 12:41:39.391,0,0,0,2.45,1
2025-01-31 12:41:39.399,0,0,0,2.45,0
2025-01-31 12:41:39.401,0,0,0,2.45,3
2025-01-31 12:41:39.402,0,0,0,2.45,1
2025-01-31 12:41:39.407,0,0,0,2.85,3
2025-01-31 12:41:39.408,0,0,0,2.85,1
2025-01-31 12:41:39.414,0,0,0,2.85,3
2025-01-31 12:41:39.415,0,0,0,2.85,1
2025-01-31 12:41:39.420,0,0,0,2.85,3
2025-01-31 12:41:39.421,0,0,0,2.85,1
2025-01-31 12:41:39.427,0,0,0,2.85,3
2025-01-31 12:41:39.429,0,0,0,2.85,1
2025-01-31 12:41:39.437,0,0,0,2.85,0
2025-01-31 12:41:39.439,0,0,0,2.85,3
2025-01-31 12:41:39.440,0,0,0,2.85,1
2025-01-31 12:41:39.448,0,0,1.385805,10.58933,3
2025-01-31 12:41:39.450,0,0,1.385805,10.58933,1
2025-01-31 12:41:39.458,0,0,1.385805,10.58933,3
2025-01-31 12:41:39.460,0,0,1.385805,10.58933,1
2025-01-31 12:41:39.467,0,0,1.385805,10.58933,3
2025-01-31 12:41:39.469,0,0,1.385805,10.58933,1
2025-01-31 12:41:39.482,0,0,1.385805,10.58933,0
2025-01-31 12:41:39.484,0,0,1.385805,10.58933,3
2025-01-31 12:41:39.485,0,0,1.385805,10.58933,1
2025-01-31 12:41:39.493,0,0,1.385805,10.98933,3
2025-01-31 12:41:39.495,0,0,1.385805,10.98933,1
2025-01-31 12:41:39.505,0,0,1.385805,10.98933,3
2025-01-31 12:41:39.506,0,0,1.385805,10.98933,1
2025-01-31 12:41:39.513,0,0,1.385805,10.98933,3
2025-01-31 12:41:39.514,0,0,1.385805,10.98933,1
2025-01-31 12:41:39.520,0,0,1.385805,10.98933,0
2025-01-31 12:41:39.521,0,0,1.385805,10.98933,3
2025-01-31 12:41:39.522,0,0,1.385805,10.98933,1
2025-01-31 12:41:39.527,0,0,1.385805,11.38933,3
