Time,Encoder1,Encoder2
03-02-2025 15:13:17.595,17.56544,28.32856
03-02-2025 15:13:17.631,17.56544,28.32856
03-02-2025 15:13:17.644,17.56544,28.32856
03-02-2025 15:13:17.651,17.56544,28.32856
03-02-2025 15:13:17.657,17.56544,28.32856
03-02-2025 15:13:17.665,17.56544,28.32856
03-02-2025 15:13:17.670,17.56544,28.32856
03-02-2025 15:13:17.677,17.56544,28.32856
03-02-2025 15:13:17.685,17.56544,28.32856
03-02-2025 15:13:17.692,17.56544,28.32856
03-02-2025 15:13:17.697,17.56544,28.32856
03-02-2025 15:13:17.705,17.56544,28.32856
03-02-2025 15:13:17.712,17.56544,28.32856
03-02-2025 15:13:17.719,17.56544,28.32856
03-02-2025 15:13:17.726,17.56544,28.32856
03-02-2025 15:13:17.731,17.56544,28.32856
03-02-2025 15:13:17.737,17.56544,28.32856
03-02-2025 15:13:17.743,17.56544,28.32856
03-02-2025 15:13:17.750,17.56544,28.32856
03-02-2025 15:13:17.756,17.56544,28.32856
03-02-2025 15:13:17.763,17.56544,28.32856
03-02-2025 15:13:17.767,17.56544,28.32856
03-02-2025 15:13:17.774,17.56544,28.32856
03-02-2025 15:13:17.780,17.56544,28.32856
03-02-2025 15:13:17.786,17.56544,28.32856
03-02-2025 15:13:17.793,17.56544,28.32856
03-02-2025 15:13:17.800,17.56544,28.32856
03-02-2025 15:13:17.808,17.56544,28.32856
03-02-2025 15:13:17.815,17.56544,28.32856
03-02-2025 15:13:17.821,17.56544,28.32856
03-02-2025 15:13:17.827,17.56544,28.32856
03-02-2025 15:13:17.833,17.56544,28.32856
03-02-2025 15:13:17.844,17.56544,28.32856
03-02-2025 15:13:17.849,17.56544,28.32856
03-02-2025 15:13:17.858,17.56544,28.32856
03-02-2025 15:13:17.864,17.56544,28.32856
03-02-2025 15:13:17.872,17.56544,28.32856
03-02-2025 15:13:17.878,17.56544,28.32856
03-02-2025 15:13:17.885,17.56544,28.32856
03-02-2025 15:13:17.892,17.56544,28.32856
03-02-2025 15:13:17.899,17.56544,28.32856
03-02-2025 15:13:17.909,17.56544,28.32856
03-02-2025 15:13:17.913,17.56544,28.32856
03-02-2025 15:13:17.919,17.56544,28.32856
03-02-2025 15:13:17.926,17.56544,28.32856
03-02-2025 15:13:17.931,17.56544,28.32856
03-02-2025 15:13:17.938,17.56544,28.32856
03-02-2025 15:13:17.946,17.56544,28.32856
03-02-2025 15:13:17.951,17.56544,28.32856
03-02-2025 15:13:17.958,17.56544,28.32856
03-02-2025 15:13:17.966,17.56544,28.32856
03-02-2025 15:13:17.973,17.56544,28.32856
03-02-2025 15:13:17.980,17.56544,28.32856
03-02-2025 15:13:17.987,17.56544,28.32856
03-02-2025 15:13:17.995,17.56544,28.32856
03-02-2025 15:13:18.001,17.56544,28.32856
03-02-2025 15:13:18.008,17.56544,28.32856
03-02-2025 15:13:18.015,17.56544,28.32856
03-02-2025 15:13:18.023,17.56544,28.32856
03-02-2025 15:13:18.030,17.56544,28.32856
03-02-2025 15:13:18.036,17.56544,28.32856
03-02-2025 15:13:18.048,17.56544,28.32856
03-02-2025 15:13:18.054,17.56544,28.32856
03-02-2025 15:13:18.062,17.56544,28.32856
03-02-2025 15:13:18.069,17.56544,28.32856
03-02-2025 15:13:18.076,17.56544,28.32856
