Time,Encoder1,Encoder2
13-01-2025 13:09:42.127,0,0
13-01-2025 13:09:42.128,0,0
13-01-2025 13:09:42.142,0,0
13-01-2025 13:09:42.143,0,0
13-01-2025 13:09:42.158,0,0
13-01-2025 13:09:42.158,0,0
13-01-2025 13:09:42.175,0,0
13-01-2025 13:09:42.176,0,0
13-01-2025 13:09:42.192,0,0
13-01-2025 13:09:42.192,0,0
13-01-2025 13:09:42.208,0,0
13-01-2025 13:09:42.208,0,0
13-01-2025 13:09:42.224,0,0
13-01-2025 13:09:42.225,0,0
13-01-2025 13:09:42.241,0,0
13-01-2025 13:09:42.242,0,0
13-01-2025 13:09:42.258,0,0
13-01-2025 13:09:42.259,0,0
13-01-2025 13:09:42.275,0,0
13-01-2025 13:09:42.275,0,0
13-01-2025 13:09:42.291,0,0
13-01-2025 13:09:42.292,0,0
13-01-2025 13:09:42.308,0,0
13-01-2025 13:09:42.309,0,0
13-01-2025 13:09:42.325,0,0
13-01-2025 13:09:42.325,0,0
13-01-2025 13:09:42.341,0,0
13-01-2025 13:09:42.342,0,0
13-01-2025 13:09:42.358,0,0
13-01-2025 13:09:42.359,0,0
13-01-2025 13:09:42.376,0,0
13-01-2025 13:09:42.376,0,0
13-01-2025 13:09:42.391,0,0
13-01-2025 13:09:42.392,0,0
13-01-2025 13:09:42.407,0,0
13-01-2025 13:09:42.407,0,0
13-01-2025 13:09:42.424,0,0
13-01-2025 13:09:42.425,0,0
13-01-2025 13:09:42.440,0,0
13-01-2025 13:09:42.441,0,0
13-01-2025 13:09:42.457,0,0
13-01-2025 13:09:42.457,0,0
13-01-2025 13:09:42.474,0,0
13-01-2025 13:09:42.475,0,0
13-01-2025 13:09:42.491,0,0
13-01-2025 13:09:42.491,0,0
13-01-2025 13:09:42.507,0,0
13-01-2025 13:09:42.507,0,0
13-01-2025 13:09:42.524,0,0
13-01-2025 13:09:42.524,0,0
13-01-2025 13:09:42.541,0,0
13-01-2025 13:09:42.541,0,0
13-01-2025 13:09:42.557,0,0
13-01-2025 13:09:42.558,0,0
13-01-2025 13:09:42.574,0,0
13-01-2025 13:09:42.574,0,0
13-01-2025 13:09:42.591,0,0
13-01-2025 13:09:42.591,0,0
13-01-2025 13:09:42.608,0,0
13-01-2025 13:09:42.609,0,0
13-01-2025 13:09:42.624,0,0
13-01-2025 13:09:42.625,0,0
13-01-2025 13:09:42.640,0,0
13-01-2025 13:09:42.641,0,0
13-01-2025 13:09:42.658,0,0
13-01-2025 13:09:42.659,0,0
13-01-2025 13:09:42.675,0,0
13-01-2025 13:09:42.675,0,0
13-01-2025 13:09:42.690,0,0
13-01-2025 13:09:42.691,0,0
13-01-2025 13:09:42.708,0,0
13-01-2025 13:09:42.709,0,0
