Time,Encoder1,Encoder2
13-01-2025 13:08:07.374,0,0
13-01-2025 13:08:07.385,0,0
13-01-2025 13:08:07.390,0,0
13-01-2025 13:08:07.390,0,0
13-01-2025 13:08:07.419,0,0
13-01-2025 13:08:07.419,0,0
13-01-2025 13:08:07.434,0,0
13-01-2025 13:08:07.434,0,0
13-01-2025 13:08:07.450,0,0
13-01-2025 13:08:07.450,0,0
13-01-2025 13:08:07.467,0,0
13-01-2025 13:08:07.468,0,0
13-01-2025 13:08:07.484,0,0
13-01-2025 13:08:07.484,0,0
13-01-2025 13:08:07.500,0,0
13-01-2025 13:08:07.500,0,0
13-01-2025 13:08:07.517,0,0
13-01-2025 13:08:07.517,0,0
13-01-2025 13:08:07.534,0,0
13-01-2025 13:08:07.534,0,0
13-01-2025 13:08:07.551,0,0
13-01-2025 13:08:07.551,0,0
13-01-2025 13:08:07.567,0,0
13-01-2025 13:08:07.567,0,0
13-01-2025 13:08:07.584,0,0
13-01-2025 13:08:07.585,0,0
13-01-2025 13:08:07.601,0,0
13-01-2025 13:08:07.601,0,0
13-01-2025 13:08:07.617,0,0
13-01-2025 13:08:07.617,0,0
13-01-2025 13:08:07.634,0,0
13-01-2025 13:08:07.634,0,0
13-01-2025 13:08:07.651,0,0
13-01-2025 13:08:07.651,0,0
13-01-2025 13:08:07.667,0,0
13-01-2025 13:08:07.667,0,0
13-01-2025 13:08:07.683,0,0
13-01-2025 13:08:07.684,0,0
13-01-2025 13:08:07.701,0,0
13-01-2025 13:08:07.701,0,0
13-01-2025 13:08:07.717,0,0
13-01-2025 13:08:07.717,0,0
13-01-2025 13:08:07.734,0,0
13-01-2025 13:08:07.734,0,0
13-01-2025 13:08:07.750,0,0
13-01-2025 13:08:07.751,0,0
13-01-2025 13:08:07.767,0,0
13-01-2025 13:08:07.767,0,0
13-01-2025 13:08:07.784,0,0
13-01-2025 13:08:07.784,0,0
13-01-2025 13:08:07.801,0,0
13-01-2025 13:08:07.801,0,0
13-01-2025 13:08:07.817,0,0
13-01-2025 13:08:07.817,0,0
13-01-2025 13:08:07.834,0,0
13-01-2025 13:08:07.834,0,0
13-01-2025 13:08:07.850,0,0
13-01-2025 13:08:07.850,0,0
13-01-2025 13:08:07.866,0,0
13-01-2025 13:08:07.867,0,0
13-01-2025 13:08:07.883,0,0
13-01-2025 13:08:07.884,0,0
13-01-2025 13:08:07.900,0,0
13-01-2025 13:08:07.900,0,0
13-01-2025 13:08:07.917,0,0
13-01-2025 13:08:07.917,0,0
13-01-2025 13:08:07.933,0,0
