Time,Encoder1,Encoder2
29-01-2025 15:19:33.253,31.56565,50.33915
29-01-2025 15:19:33.283,31.56565,50.33915
29-01-2025 15:19:33.291,31.5926,50.30185
29-01-2025 15:19:33.298,31.59504,50.29814
29-01-2025 15:19:33.304,31.59741,50.29493
29-01-2025 15:19:33.311,31.59896,50.29258
29-01-2025 15:19:33.317,31.60114,50.28926
29-01-2025 15:19:33.323,31.60288,50.28703
29-01-2025 15:19:33.327,31.60429,50.28488
29-01-2025 15:19:33.335,31.60583,50.28253
29-01-2025 15:19:33.339,31.60673,50.28253
29-01-2025 15:19:33.346,31.60725,50.28038
29-01-2025 15:19:33.351,31.60827,50.27882
29-01-2025 15:19:33.357,31.61071,50.27511
29-01-2025 15:19:33.365,31.61136,50.27393
29-01-2025 15:19:33.370,31.61289,50.27179
29-01-2025 15:19:33.385,31.61848,50.26369
29-01-2025 15:19:33.390,31.62021,50.26145
29-01-2025 15:19:33.395,31.6215,50.2595
29-01-2025 15:19:33.400,31.62349,50.25687
29-01-2025 15:19:33.405,31.62457,50.25561
29-01-2025 15:19:33.411,31.62618,50.25561
29-01-2025 15:19:33.415,31.62785,50.25103
29-01-2025 15:19:33.419,31.62919,50.25103
29-01-2025 15:19:33.426,31.63067,50.24753
29-01-2025 15:19:33.432,31.63291,50.24451
29-01-2025 15:19:33.436,31.63426,50.24286
29-01-2025 15:19:33.442,31.8336,49.90292
29-01-2025 15:19:33.448,31.83478,49.89824
29-01-2025 15:19:33.453,31.83506,49.89331
29-01-2025 15:19:33.457,31.83506,49.89331
29-01-2025 15:19:33.464,31.83704,49.88453
29-01-2025 15:19:33.469,31.83764,49.87951
29-01-2025 15:19:33.472,31.83786,49.8759
29-01-2025 15:19:33.477,31.83923,49.87132
29-01-2025 15:19:33.483,31.84023,49.86813
29-01-2025 15:19:33.491,31.84141,49.86425
29-01-2025 15:19:33.497,31.84377,49.85568
29-01-2025 15:19:33.503,31.84537,49.8499
29-01-2025 15:19:33.508,31.8463,49.84641
29-01-2025 15:19:33.514,31.84829,49.84085
29-01-2025 15:19:33.519,31.85016,49.83529
29-01-2025 15:19:33.524,31.85152,49.8301
29-01-2025 15:19:33.529,31.85351,49.82454
29-01-2025 15:19:33.535,31.85563,49.81958
29-01-2025 15:19:33.540,31.85827,49.81464
29-01-2025 15:19:33.547,31.86033,49.81019
29-01-2025 15:19:33.553,31.8639,49.80318
29-01-2025 15:19:33.559,31.86634,49.79834
29-01-2025 15:19:33.566,31.86929,49.79251
29-01-2025 15:19:33.573,31.87197,49.78708
29-01-2025 15:19:33.576,31.87472,49.78114
29-01-2025 15:19:33.584,31.87666,49.77689
29-01-2025 15:19:33.591,31.88028,49.76957
29-01-2025 15:19:33.597,31.88303,49.76363
29-01-2025 15:19:33.604,31.88609,49.75761
29-01-2025 15:19:33.607,31.88852,49.75256
29-01-2025 15:19:33.614,31.89002,49.74939
