Time,Encoder1,Encoder2
09-11-2024 13:02:01.873,4.969584,44.90549
09-11-2024 13:02:01.899,4.969584,44.90549
09-11-2024 13:02:01.914,4.969584,44.90549
09-11-2024 13:02:01.923,4.969584,44.90549
09-11-2024 13:02:01.928,4.969584,44.90549
09-11-2024 13:02:01.934,4.969584,44.90549
09-11-2024 13:02:01.942,4.969584,44.90549
09-11-2024 13:02:01.947,4.969584,44.90549
09-11-2024 13:02:01.956,4.969584,44.90549
09-11-2024 13:02:01.964,4.969584,44.90549
09-11-2024 13:02:01.971,4.969584,44.90549
09-11-2024 13:02:01.977,4.969584,44.90549
09-11-2024 13:02:01.984,4.969584,44.90549
09-11-2024 13:02:01.992,4.969584,44.90549
09-11-2024 13:02:01.998,4.969584,44.90549
09-11-2024 13:02:02.005,4.969584,44.90549
09-11-2024 13:02:02.012,4.969584,44.90549
09-11-2024 13:02:02.019,4.969584,44.90549
09-11-2024 13:02:02.026,4.969584,44.90549
09-11-2024 13:02:02.030,4.969584,44.90549
09-11-2024 13:02:02.034,4.969584,44.90549
09-11-2024 13:02:02.041,4.969584,44.90549
09-11-2024 13:02:02.046,4.969584,44.90549
09-11-2024 13:02:02.050,4.969584,44.90549
09-11-2024 13:02:02.054,4.969584,44.90549
09-11-2024 13:02:02.060,4.969584,44.90549
09-11-2024 13:02:02.066,4.969584,44.90549
09-11-2024 13:02:02.070,4.969584,44.90549
09-11-2024 13:02:02.076,4.969584,44.90549
09-11-2024 13:02:02.082,4.969584,44.90549
09-11-2024 13:02:02.087,4.969584,44.90549
09-11-2024 13:02:02.092,4.969584,44.90549
09-11-2024 13:02:02.097,4.969584,44.90549
09-11-2024 13:02:02.103,4.969584,44.90549
09-11-2024 13:02:02.111,4.969584,44.90549
09-11-2024 13:02:02.115,4.969584,44.90549
09-11-2024 13:02:02.122,4.969584,44.90549
09-11-2024 13:02:02.129,4.969584,44.90549
09-11-2024 13:02:02.133,4.969584,44.90549
09-11-2024 13:02:02.140,4.969584,44.90549
09-11-2024 13:02:02.146,4.969584,44.90549
09-11-2024 13:02:02.150,4.969584,44.90549
09-11-2024 13:02:02.157,4.969584,44.90549
09-11-2024 13:02:02.162,4.969584,44.90549
09-11-2024 13:02:02.168,4.969584,44.90549
09-11-2024 13:02:02.173,4.969584,44.90549
09-11-2024 13:02:02.181,4.969584,44.90549
09-11-2024 13:02:02.186,4.969584,44.90549
09-11-2024 13:02:02.193,4.969224,44.9058
09-11-2024 13:02:02.201,4.969224,44.9058
09-11-2024 13:02:02.207,4.969224,44.9058
09-11-2024 13:02:02.213,4.969224,44.9058
09-11-2024 13:02:02.218,4.969224,44.9058
09-11-2024 13:02:02.224,4.969224,44.9058
09-11-2024 13:02:02.229,4.969224,44.9058
09-11-2024 13:02:02.234,4.969224,44.9058
09-11-2024 13:02:02.240,4.969224,44.9058
09-11-2024 13:02:02.247,4.969224,44.9058
09-11-2024 13:02:02.253,4.969224,44.9058
09-11-2024 13:02:02.260,4.969224,44.9058
09-11-2024 13:02:02.267,4.969224,44.9058
09-11-2024 13:02:02.272,4.969224,44.9058
09-11-2024 13:02:02.279,4.969224,44.9058
09-11-2024 13:02:02.284,4.969224,44.9058
