Time,Encoder1,Encoder2
11-11-2024 08:40:50.464,16.11064,58.34042
11-11-2024 08:40:50.484,16.10891,58.34042
11-11-2024 08:40:50.490,16.10855,58.3421
11-11-2024 08:40:50.500,16.10855,58.3421
11-11-2024 08:40:50.504,16.10838,58.34224
11-11-2024 08:40:50.507,16.10838,58.34224
11-11-2024 08:40:50.514,16.1082,58.34238
11-11-2024 08:40:50.518,16.1082,58.34238
11-11-2024 08:40:50.522,16.10803,58.34253
11-11-2024 08:40:50.526,16.10803,58.34253
11-11-2024 08:40:50.530,16.10803,58.34253
11-11-2024 08:40:50.535,16.10785,58.34267
11-11-2024 08:40:50.539,16.10785,58.34267
11-11-2024 08:40:50.543,16.10785,58.34267
11-11-2024 08:40:50.547,16.10785,58.34267
11-11-2024 08:40:50.553,16.10768,58.3428
11-11-2024 08:40:50.557,16.10768,58.3428
11-11-2024 08:40:50.561,16.09131,58.35488
11-11-2024 08:40:50.566,16.09131,58.35488
11-11-2024 08:40:50.571,16.08992,58.356
11-11-2024 08:40:50.574,16.08922,58.35656
11-11-2024 08:40:50.578,16.08852,58.35712
11-11-2024 08:40:50.584,16.08783,58.35768
11-11-2024 08:40:50.588,16.08626,58.35894
11-11-2024 08:40:50.594,16.08626,58.35894
11-11-2024 08:40:50.598,16.08417,58.36062
11-11-2024 08:40:50.602,16.08347,58.36118
11-11-2024 08:40:50.607,16.0826,58.36188
11-11-2024 08:40:50.611,16.08156,58.36272
11-11-2024 08:40:50.616,16.08034,58.3637
11-11-2024 08:40:50.620,16.07895,58.36482
11-11-2024 08:40:50.625,16.0779,58.36566
11-11-2024 08:40:50.628,16.07685,58.3665
11-11-2024 08:40:50.634,16.07529,58.36776
11-11-2024 08:40:50.638,16.0739,58.36887
11-11-2024 08:40:50.641,16.07285,58.36972
11-11-2024 08:40:50.646,16.07215,58.37028
11-11-2024 08:40:50.650,15.74536,58.63685
11-11-2024 08:40:50.656,15.74413,58.63781
11-11-2024 08:40:50.660,15.74413,58.63781
11-11-2024 08:40:50.664,15.74239,58.63919
11-11-2024 08:40:50.668,15.74187,58.6396
11-11-2024 08:40:50.673,15.74116,58.64015
11-11-2024 08:40:50.677,15.74046,58.64071
11-11-2024 08:40:50.681,15.73942,58.64153
11-11-2024 08:40:50.685,15.73837,58.64235
11-11-2024 08:40:50.691,15.73767,58.64291
11-11-2024 08:40:50.697,15.73662,58.64373
11-11-2024 08:40:50.703,15.7354,58.6447
11-11-2024 08:40:50.707,15.73383,58.64593
11-11-2024 08:40:50.712,15.73243,58.64703
11-11-2024 08:40:50.718,15.73121,58.64799
11-11-2024 08:40:50.722,15.73034,58.64868
11-11-2024 08:40:50.726,15.72946,58.64936
11-11-2024 08:40:50.730,15.72859,58.65005
11-11-2024 08:40:50.737,15.607,58.74544
11-11-2024 08:40:50.743,15.60419,58.74763
11-11-2024 08:40:50.747,15.60227,58.74913
11-11-2024 08:40:50.752,15.60053,58.75049
11-11-2024 08:40:50.758,15.5979,58.75254
11-11-2024 08:40:50.763,15.59633,58.75377
11-11-2024 08:40:50.767,15.59493,58.75486
11-11-2024 08:40:50.774,15.59248,58.75677
11-11-2024 08:40:50.779,15.58969,58.75896
11-11-2024 08:40:50.784,15.58637,58.76155
11-11-2024 08:40:50.790,15.58462,58.76292
11-11-2024 08:40:50.795,15.5827,58.76442
11-11-2024 08:40:50.801,15.58007,58.76646
11-11-2024 08:40:50.806,15.57745,58.76851
11-11-2024 08:40:50.811,15.57483,58.77055
11-11-2024 08:40:50.817,15.57326,58.77178
11-11-2024 08:40:50.822,15.56959,58.77465
11-11-2024 08:40:50.827,15.56714,58.77655
11-11-2024 08:40:50.836,15.56417,58.77887
11-11-2024 08:40:50.841,15.56154,58.78092
11-11-2024 08:40:50.847,15.42232,58.88902
11-11-2024 08:40:50.853,15.42075,58.89024
11-11-2024 08:40:50.857,15.41847,58.89199
11-11-2024 08:40:50.863,15.41654,58.89349
