Time,Encoder1,Encoder2
04-02-2025 12:11:35.075,14.53489,28.49553
04-02-2025 12:11:35.096,14.53489,28.49553
04-02-2025 12:11:35.111,14.53489,28.49553
04-02-2025 12:11:35.117,14.53498,28.49571
04-02-2025 12:11:35.123,14.53227,28.50671
04-02-2025 12:11:35.131,14.53189,28.50743
04-02-2025 12:11:35.138,14.53169,28.50815
04-02-2025 12:11:35.143,14.5304,28.51266
04-02-2025 12:11:35.148,14.53011,28.51321
04-02-2025 12:11:35.155,14.52982,28.51411
04-02-2025 12:11:35.162,14.52642,28.52223
04-02-2025 12:11:35.166,14.52622,28.52296
04-02-2025 12:11:35.172,14.52574,28.52386
04-02-2025 12:11:35.179,14.52545,28.5244
04-02-2025 12:11:35.183,14.52071,28.53469
04-02-2025 12:11:35.190,14.52004,28.53596
04-02-2025 12:11:35.196,14.51916,28.53794
04-02-2025 12:11:35.204,14.50845,28.53794
04-02-2025 12:11:35.210,14.5072,28.56107
04-02-2025 12:11:35.215,14.50595,28.56342
04-02-2025 12:11:35.223,14.49446,28.58492
04-02-2025 12:11:35.228,14.49234,28.5889
04-02-2025 12:11:35.233,14.49127,28.5889
04-02-2025 12:11:35.240,14.47676,28.61801
04-02-2025 12:11:35.245,14.47511,28.62109
04-02-2025 12:11:35.250,14.47395,28.62326
04-02-2025 12:11:35.257,14.4725,28.62597
04-02-2025 12:11:35.263,14.45882,28.65147
04-02-2025 12:11:35.268,14.45698,28.65491
04-02-2025 12:11:35.274,14.45542,28.65781
04-02-2025 12:11:35.280,14.43694,28.6922
04-02-2025 12:11:35.285,14.43499,28.69582
04-02-2025 12:11:35.292,14.43334,28.69908
04-02-2025 12:11:35.299,14.43168,28.70198
04-02-2025 12:11:35.309,14.43168,28.70198
04-02-2025 12:11:35.315,14.41167,28.7391
04-02-2025 12:11:35.322,14.40883,28.74437
04-02-2025 12:11:35.328,14.38582,28.78696
04-02-2025 12:11:35.333,14.38366,28.79094
04-02-2025 12:11:35.343,14.38219,28.79366
04-02-2025 12:11:35.349,14.37905,28.79947
04-02-2025 12:11:35.360,14.34875,28.85534
04-02-2025 12:11:35.364,14.34549,28.86133
04-02-2025 12:11:35.373,14.34441,28.86333
04-02-2025 12:11:35.378,14.34233,28.86714
04-02-2025 12:11:35.384,14.34066,28.87022
04-02-2025 12:11:35.392,14.33957,28.8724
04-02-2025 12:11:35.398,14.30184,28.94214
04-02-2025 12:11:35.405,14.29886,28.94795
04-02-2025 12:11:35.410,14.29518,28.95468
04-02-2025 12:11:35.415,14.25378,29.03268
04-02-2025 12:11:35.423,14.25046,29.03941
04-02-2025 12:11:35.428,14.24635,29.04724
04-02-2025 12:11:35.433,14.24404,29.05179
04-02-2025 12:11:35.439,14.24163,29.05652
04-02-2025 12:11:35.445,14.15736,29.22593
04-02-2025 12:11:35.450,14.15112,29.23907
04-02-2025 12:11:35.457,14.14568,29.25074
04-02-2025 12:11:35.464,14.07456,29.40374
04-02-2025 12:11:35.471,14.06618,29.42055
04-02-2025 12:11:35.477,13.99315,29.57587
04-02-2025 12:11:35.482,13.98572,29.59346
04-02-2025 12:11:35.489,13.97855,29.60903
04-02-2025 12:11:35.494,13.92325,29.73551
04-02-2025 12:11:35.499,13.91918,29.74468
04-02-2025 12:11:35.509,13.91407,29.75569
04-02-2025 12:11:35.513,13.90593,29.77643
04-02-2025 12:11:35.518,13.85886,29.88586
04-02-2025 12:11:35.525,13.85185,29.90368
04-02-2025 12:11:35.531,13.8459,29.91691
04-02-2025 12:11:35.536,13.80835,30.01013
04-02-2025 12:11:35.543,13.80074,30.02889
04-02-2025 12:11:35.549,13.79453,30.04473
04-02-2025 12:11:35.555,13.73137,30.20679
04-02-2025 12:11:35.562,13.72602,30.22209
04-02-2025 12:11:35.566,13.71978,30.23923
04-02-2025 12:11:35.573,13.71609,30.24827
04-02-2025 12:11:35.579,13.6639,30.40179
04-02-2025 12:11:35.583,13.6639,30.40179
04-02-2025 12:11:35.591,13.65298,30.43596
04-02-2025 12:11:35.599,13.60542,30.60364
04-02-2025 12:11:35.605,13.5996,30.62362
04-02-2025 12:11:35.611,13.59555,30.64028
04-02-2025 12:11:35.615,13.5913,30.65694
04-02-2025 12:11:35.625,13.55313,30.81756
04-02-2025 12:11:35.629,13.5475,30.84037
