Time,Encoder1,Encoder2
01-08-2024 10:43:56.972,0,0
01-08-2024 10:43:57.001,0,0
01-08-2024 10:43:57.014,0,0
01-08-2024 10:43:57.019,0,0
01-08-2024 10:43:57.025,0,0
01-08-2024 10:43:57.030,0,0
01-08-2024 10:43:57.035,0,0
01-08-2024 10:43:57.040,0,0
01-08-2024 10:43:57.046,0,0
01-08-2024 10:43:57.050,0,0
01-08-2024 10:43:57.054,0,0
01-08-2024 10:43:57.059,0,0
01-08-2024 10:43:57.065,0,0
01-08-2024 10:43:57.069,0,0
01-08-2024 10:43:57.075,0,0
01-08-2024 10:43:57.079,0,0
01-08-2024 10:43:57.084,0,0
01-08-2024 10:43:57.089,0,0
01-08-2024 10:43:57.093,0,0
01-08-2024 10:43:57.098,0,0
01-08-2024 10:43:57.104,0,0
01-08-2024 10:43:57.108,0,0
01-08-2024 10:43:57.113,0,0
01-08-2024 10:43:57.116,0,0
01-08-2024 10:43:57.128,0,0
01-08-2024 10:43:57.133,0,0
01-08-2024 10:43:57.137,0,0
01-08-2024 10:43:57.140,0,0
01-08-2024 10:43:57.146,0,0
01-08-2024 10:43:57.150,0,0
01-08-2024 10:43:57.155,0,0
01-08-2024 10:43:57.159,0,0
01-08-2024 10:43:57.165,0,0
01-08-2024 10:43:57.169,0,0
01-08-2024 10:43:57.173,0,0
01-08-2024 10:43:57.178,0,0
01-08-2024 10:43:57.184,0,0
01-08-2024 10:43:57.188,0,0
01-08-2024 10:43:57.192,0,0
01-08-2024 10:43:57.196,0,0
01-08-2024 10:43:57.200,0,0
01-08-2024 10:43:57.206,0,0
01-08-2024 10:43:57.214,0,0
01-08-2024 10:43:57.219,0,0
01-08-2024 10:43:57.224,0,0
01-08-2024 10:43:57.228,0,0
01-08-2024 10:43:57.232,0,0
01-08-2024 10:43:57.237,0,0
01-08-2024 10:43:57.242,0,0
01-08-2024 10:43:57.247,0,0
01-08-2024 10:43:57.251,0,0
01-08-2024 10:43:57.255,0,0
01-08-2024 10:43:57.259,0,0
01-08-2024 10:43:57.265,0,0
01-08-2024 10:43:57.268,0,0
01-08-2024 10:43:57.274,0,0
01-08-2024 10:43:57.277,0,0
01-08-2024 10:43:57.284,0,0
01-08-2024 10:43:57.288,0,0
01-08-2024 10:43:57.292,0,0
01-08-2024 10:43:57.296,0,0
01-08-2024 10:43:57.301,0,0
01-08-2024 10:43:57.306,0,0
01-08-2024 10:43:57.311,0,0
01-08-2024 10:43:57.314,0,0
01-08-2024 10:43:57.320,0,0
01-08-2024 10:43:57.326,0,0
01-08-2024 10:43:57.331,0,0
01-08-2024 10:43:57.335,0,0
01-08-2024 10:43:57.339,0,0
01-08-2024 10:43:57.344,0,0
01-08-2024 10:43:57.349,0,0
01-08-2024 10:43:57.353,0,0
01-08-2024 10:43:57.358,0,0
01-08-2024 10:43:57.363,0,0
01-08-2024 10:43:57.367,0,0
01-08-2024 10:43:57.373,0,0
01-08-2024 10:43:57.379,0,0
01-08-2024 10:43:57.385,0,0
01-08-2024 10:43:57.390,0,0
01-08-2024 10:43:57.394,0,0
01-08-2024 10:43:57.398,0,0
01-08-2024 10:43:57.407,0,0
01-08-2024 10:43:57.419,0,0
01-08-2024 10:43:57.424,0,0
01-08-2024 10:43:57.430,0,0
01-08-2024 10:43:57.434,0,0
01-08-2024 10:43:57.440,0,0
01-08-2024 10:43:57.446,0,0
01-08-2024 10:43:57.450,0,0
01-08-2024 10:43:57.455,0,0
01-08-2024 10:43:57.458,0,0
01-08-2024 10:43:57.464,0,0
01-08-2024 10:43:57.469,0,0
01-08-2024 10:43:57.474,0,0
01-08-2024 10:43:57.477,0,0
01-08-2024 10:43:57.482,0,0
01-08-2024 10:43:57.487,0,0
01-08-2024 10:43:57.491,0,0
01-08-2024 10:43:57.494,0,0
01-08-2024 10:43:57.500,0,0
01-08-2024 10:43:57.504,0,0
01-08-2024 10:43:57.509,0,0
01-08-2024 10:43:57.513,0,0
01-08-2024 10:43:57.518,0,0
01-08-2024 10:43:57.523,0,0
01-08-2024 10:43:57.527,0,0
01-08-2024 10:43:57.531,0,0
01-08-2024 10:43:57.536,0,0
01-08-2024 10:43:57.540,0,0
01-08-2024 10:43:57.545,0,0
01-08-2024 10:43:57.549,0,0
01-08-2024 10:43:57.554,0,0
01-08-2024 10:43:57.558,0,0
01-08-2024 10:43:57.562,0,0
01-08-2024 10:43:57.568,0,0
01-08-2024 10:43:57.572,0,0
01-08-2024 10:43:57.577,0,0
01-08-2024 10:43:57.583,0,0
01-08-2024 10:43:57.587,0,0
01-08-2024 10:43:57.591,0,0
01-08-2024 10:43:57.596,0,0
01-08-2024 10:43:57.601,0,0
01-08-2024 10:43:57.605,0,0
01-08-2024 10:43:57.610,0,0
01-08-2024 10:43:57.620,0,0
01-08-2024 10:43:57.624,0,0
01-08-2024 10:43:57.628,0,0
01-08-2024 10:43:57.633,0,0
01-08-2024 10:43:57.637,0,0
01-08-2024 10:43:57.641,0,0
01-08-2024 10:43:57.646,0,0
01-08-2024 10:43:57.651,0,0
01-08-2024 10:43:57.655,0,0
01-08-2024 10:43:57.661,0,0
01-08-2024 10:43:57.668,0,0
01-08-2024 10:43:57.672,0,0
01-08-2024 10:43:57.676,0,0
01-08-2024 10:43:57.681,0,0
01-08-2024 10:43:57.687,0,0
01-08-2024 10:43:57.691,0,0
01-08-2024 10:43:57.696,0,0
01-08-2024 10:43:57.700,0,0
01-08-2024 10:43:57.706,0,0
01-08-2024 10:43:57.710,0,0
01-08-2024 10:43:57.715,0,0
01-08-2024 10:43:57.718,0,0
01-08-2024 10:43:57.724,0,0
01-08-2024 10:43:57.728,0,0
01-08-2024 10:43:57.732,0,0
01-08-2024 10:43:57.736,0,0
01-08-2024 10:43:57.740,0,0
01-08-2024 10:43:57.746,0,0
01-08-2024 10:43:57.751,0,0
01-08-2024 10:43:57.754,0,0
01-08-2024 10:43:57.759,0,0
01-08-2024 10:43:57.764,0,0
01-08-2024 10:43:57.769,0,0
01-08-2024 10:43:57.773,0,0
01-08-2024 10:43:57.776,0,0
01-08-2024 10:43:57.782,0,0
01-08-2024 10:43:57.787,0,0
01-08-2024 10:43:57.791,0,0
01-08-2024 10:43:57.796,0,0
01-08-2024 10:43:57.801,0,0
01-08-2024 10:43:57.807,0,0
01-08-2024 10:43:57.811,0,0
01-08-2024 10:43:57.821,0,0
01-08-2024 10:43:57.825,0,0
01-08-2024 10:43:57.830,0,0
01-08-2024 10:43:57.835,0,0
01-08-2024 10:43:57.839,0,0
01-08-2024 10:43:57.845,0,0
01-08-2024 10:43:57.850,0,0
01-08-2024 10:43:57.854,0,0
01-08-2024 10:43:57.857,0,0
01-08-2024 10:43:57.863,0,0
01-08-2024 10:43:57.868,0,0
01-08-2024 10:43:57.872,0,0
01-08-2024 10:43:57.876,0,0
01-08-2024 10:43:57.881,0,0
01-08-2024 10:43:57.885,0,0
01-08-2024 10:43:57.889,0,0
01-08-2024 10:43:57.895,0,0
01-08-2024 10:43:57.899,0,0
01-08-2024 10:43:57.904,0,0
01-08-2024 10:43:57.909,0,0
01-08-2024 10:43:57.913,0,0
01-08-2024 10:43:57.917,0,0
01-08-2024 10:43:57.922,0,0
01-08-2024 10:43:57.927,0,0
01-08-2024 10:43:57.931,0,0
01-08-2024 10:43:57.936,0,0
01-08-2024 10:43:57.941,0,0
01-08-2024 10:43:57.945,0,0
01-08-2024 10:43:57.950,0,0
01-08-2024 10:43:57.955,0,0
01-08-2024 10:43:57.958,0,0
01-08-2024 10:43:57.963,0,0
01-08-2024 10:43:57.969,0,0
01-08-2024 10:43:57.972,0,0
01-08-2024 10:43:57.977,0,0
01-08-2024 10:43:57.981,0,0
01-08-2024 10:43:57.986,0,0
01-08-2024 10:43:57.991,0,0
01-08-2024 10:43:57.996,0,0
01-08-2024 10:43:58.000,0,0
01-08-2024 10:43:58.005,0,0
01-08-2024 10:43:58.010,0,0
01-08-2024 10:43:58.014,0,0
01-08-2024 10:43:58.025,0,0
01-08-2024 10:43:58.028,0,0
01-08-2024 10:43:58.033,0,0
01-08-2024 10:43:58.036,0,0
01-08-2024 10:43:58.043,0,0
01-08-2024 10:43:58.046,0,0
01-08-2024 10:43:58.051,0,0
01-08-2024 10:43:58.056,0,0
01-08-2024 10:43:58.060,0,0
01-08-2024 10:43:58.065,0,0
01-08-2024 10:43:58.071,0,0
01-08-2024 10:43:58.075,0,0
01-08-2024 10:43:58.080,0,0
01-08-2024 10:43:58.085,0,0
01-08-2024 10:43:58.088,0,0
01-08-2024 10:43:58.093,0,0
01-08-2024 10:43:58.097,0,0
01-08-2024 10:43:58.102,0,0
01-08-2024 10:43:58.106,0,0
01-08-2024 10:43:58.110,0,0
01-08-2024 10:43:58.115,0,0
01-08-2024 10:43:58.120,0,0
01-08-2024 10:43:58.125,0,0
01-08-2024 10:43:58.131,0,0
01-08-2024 10:43:58.135,0,0
01-08-2024 10:43:58.140,0,0
01-08-2024 10:43:58.144,0,0
01-08-2024 10:43:58.149,0,0
01-08-2024 10:43:58.153,0,0
01-08-2024 10:43:58.156,0,0
01-08-2024 10:43:58.163,0,0
01-08-2024 10:43:58.166,0,0
01-08-2024 10:43:58.170,0,0
01-08-2024 10:43:58.176,0,0
01-08-2024 10:43:58.180,0,0
01-08-2024 10:43:58.185,0,0
01-08-2024 10:43:58.189,0,0
01-08-2024 10:43:58.193,0,0
01-08-2024 10:43:58.198,0,0
01-08-2024 10:43:58.203,0,0
01-08-2024 10:43:58.208,0,0
01-08-2024 10:43:58.213,0,0
01-08-2024 10:43:58.218,0,0
01-08-2024 10:43:58.228,0,0
01-08-2024 10:43:58.232,0,0
01-08-2024 10:43:58.236,0,0
01-08-2024 10:43:58.240,0,0
01-08-2024 10:43:58.247,0,0
01-08-2024 10:43:58.251,0,0
01-08-2024 10:43:58.255,0,0
01-08-2024 10:43:58.259,0,0
01-08-2024 10:43:58.264,0,0
01-08-2024 10:43:58.268,0,0
01-08-2024 10:43:58.272,0,0
01-08-2024 10:43:58.277,0,0
01-08-2024 10:43:58.283,0,0
01-08-2024 10:43:58.287,0,0
01-08-2024 10:43:58.291,0,0
01-08-2024 10:43:58.295,0,0
01-08-2024 10:43:58.299,0,0
01-08-2024 10:43:58.304,0,0
01-08-2024 10:43:58.308,0,0
01-08-2024 10:43:58.312,0,0
01-08-2024 10:43:58.317,0,0
01-08-2024 10:43:58.321,0,0
01-08-2024 10:43:58.325,0,0
01-08-2024 10:43:58.330,0,0
01-08-2024 10:43:58.335,0,0
01-08-2024 10:43:58.340,0,0
01-08-2024 10:43:58.346,0,0
01-08-2024 10:43:58.350,0,0
01-08-2024 10:43:58.354,0,0
01-08-2024 10:43:58.357,0,0
01-08-2024 10:43:58.361,0,0
01-08-2024 10:43:58.368,0,0
01-08-2024 10:43:58.373,0,0
01-08-2024 10:43:58.376,0,0
01-08-2024 10:43:58.381,0,0
01-08-2024 10:43:58.387,0,0
01-08-2024 10:43:58.390,0,0
01-08-2024 10:43:58.395,0,0
01-08-2024 10:43:58.399,0,0
01-08-2024 10:43:58.404,0,0
01-08-2024 10:43:58.409,0,0
01-08-2024 10:43:58.413,0,0
01-08-2024 10:43:58.418,0,0
01-08-2024 10:43:58.423,0,0
01-08-2024 10:43:58.432,0,0
01-08-2024 10:43:58.437,0,0
01-08-2024 10:43:58.440,0,0
01-08-2024 10:43:58.446,0,0
01-08-2024 10:43:58.452,0,0
01-08-2024 10:43:58.457,0,0
01-08-2024 10:43:58.461,0,0
01-08-2024 10:43:58.466,0,0
01-08-2024 10:43:58.471,0,0
01-08-2024 10:43:58.475,0,0
01-08-2024 10:43:58.480,0,0
01-08-2024 10:43:58.484,0,0
01-08-2024 10:43:58.490,0,0
01-08-2024 10:43:58.493,0,0
01-08-2024 10:43:58.499,0,0
01-08-2024 10:43:58.504,0,0
01-08-2024 10:43:58.508,0,0
01-08-2024 10:43:58.513,0,0
01-08-2024 10:43:58.518,0,0
01-08-2024 10:43:58.523,0,0
01-08-2024 10:43:58.527,0,0
01-08-2024 10:43:58.532,0,0
01-08-2024 10:43:58.536,0,0
01-08-2024 10:43:58.540,0,0
01-08-2024 10:43:58.547,0,0
01-08-2024 10:43:58.551,0,0
01-08-2024 10:43:58.555,0,0
01-08-2024 10:43:58.559,0,0
01-08-2024 10:43:58.564,0,0
01-08-2024 10:43:58.569,0,0
01-08-2024 10:43:58.573,0,0
01-08-2024 10:43:58.577,0,0
